Target_Feature,Output_Length,MSE,MAE,RMSE
ens160_aqi,1,0.0008239036542363465,0.0193400327116251,0.028703721957898536
ens160_aqi,6,0.0012013212544843554,0.02398582175374031,0.03466008157065351
ens160_aqi,12,0.0018661229405552149,0.030046863481402397,0.04319864512406859
ens160_tvoc,1,0.0011197009589523077,0.011235656216740608,0.03346193298290324
ens160_tvoc,6,0.0010064420057460666,0.010659835301339626,0.03172447014129734
ens160_tvoc,12,0.0014636876294389367,0.0089943278580904,0.03825817075395708
scd41_temperature,1,0.04893766716122627,0.2130604237318039,0.2212185958757226
scd41_temperature,6,0.015406327322125435,0.11015180498361588,0.12412222734919574
scd41_temperature,12,0.007394386455416679,0.06262803077697754,0.08599061841513107
scd41_humidity,1,0.03839144483208656,0.18059664964675903,0.1959373492524755
scd41_humidity,6,0.028766509145498276,0.14618343114852905,0.16960692540547476
scd41_humidity,12,0.014822876080870628,0.09877379238605499,0.12174923441595281
scd41_co2,1,0.0007185629801824689,0.014897434040904045,0.026806025072406182
scd41_co2,6,0.001063555828295648,0.014858209528028965,0.03261220367125853
scd41_co2,12,0.0014918670058250427,0.020770227536559105,0.03862469424895222
